,games,gs,name,team,war,year
0,19,17,Bartolo Colon,Indians,0.7,1997
1,31,31,Bartolo Colon,Indians,4.4,1998
2,32,32,Bartolo Colon,Indians,3.8,1999
3,30,30,Bartolo Colon,Indians,4.3,2000
4,34,34,Bartolo Colon,Indians,3.9,2001
5,33,33,Bartolo Colon,2 Teams,4.4,2002
6,16,16,Bartolo Colon,Indians,2.2,    2002
7,34,34,Bartolo Colon,White Sox,4.7,2003
8,34,34,Bartolo Colon,Angels,1.4,2004
9,33,33,Bartolo Colon,Angels,4.1,2005
10,10,10,Bartolo Colon,Angels,0.3,2006
11,19,18,Bartolo Colon,Angels,1.0,2007
12,7,7,Bartolo Colon,Red Sox,0.5,2008
13,12,12,Bartolo Colon,White Sox,0.2,2009
14,29,26,Bartolo Colon,Yankees,2.7,2011
15,24,24,Bartolo Colon,Athletics,2.4,2012
16,30,30,Bartolo Colon,Athletics,3.8,2013
17,31,31,Bartolo Colon,Mets,2.9,2014
18,33,31,Bartolo Colon,Mets,2.5,2015
19,34,33,Bartolo Colon,Mets,2.8,2016
20,28,28,Bartolo Colon,2 Teams,0.6,2017
21,13,13,Bartolo Colon,Braves,0.3,    2017
22,25,23,Bartolo Colon,Rangers,0.2,2018
