,games,gs,name,team,war,year,starter,height,weight,bmi,yoc
0,11.0,0.0,David Aardsma,Giants,-0.3,2004.0,rp,77,220,26.085343228200372,1.0
1,45.0,0.0,David Aardsma,Cubs,-0.2,2006.0,rp,77,220,26.085343228200372,3.0
2,25.0,0.0,David Aardsma,White Sox,0.2,2007.0,rp,77,220,26.085343228200372,4.0
3,47.0,0.0,David Aardsma,Red Sox,-0.1,2008.0,rp,77,220,26.085343228200372,5.0
4,73.0,0.0,David Aardsma,Mariners,1.8,2009.0,rp,77,220,26.085343228200372,6.0
5,53.0,0.0,David Aardsma,Mariners,0.1,2010.0,rp,77,220,26.085343228200372,7.0
6,1.0,0.0,David Aardsma,Yankees,-0.1,2012.0,rp,77,220,26.085343228200372,9.0
7,43.0,0.0,David Aardsma,Mets,-0.6,2013.0,rp,77,220,26.085343228200372,10.0
8,33.0,0.0,David Aardsma,Braves,-0.4,2015.0,rp,77,220,26.085343228200372,12.0
9,13.0,13.0,Don Aase,Red Sox,2.2,1977.0,sp,75,210,26.24533333333333,1.0
10,29.0,29.0,Don Aase,Angels,1.6,1978.0,sp,75,210,26.24533333333333,2.0
11,37.0,28.0,Don Aase,Angels,1.8,1979.0,sp,75,210,26.24533333333333,3.0
12,40.0,21.0,Don Aase,Angels,1.9,1980.0,sp,75,210,26.24533333333333,4.0
13,39.0,0.0,Don Aase,Angels,0.7,1981.0,rp,75,210,26.24533333333333,5.0
14,24.0,0.0,Don Aase,Angels,0.6,1982.0,rp,75,210,26.24533333333333,6.0
15,23.0,0.0,Don Aase,Angels,0.8,1984.0,rp,75,210,26.24533333333333,8.0
16,54.0,0.0,Don Aase,Orioles,1.5,1985.0,rp,75,210,26.24533333333333,9.0
17,66.0,0.0,Don Aase,Orioles,1.9,1986.0,rp,75,210,26.24533333333333,10.0
18,7.0,0.0,Don Aase,Orioles,-0.1,1987.0,rp,75,210,26.24533333333333,11.0
19,35.0,0.0,Don Aase,Orioles,-0.4,1988.0,rp,75,210,26.24533333333333,12.0
20,49.0,0.0,Don Aase,Mets,-0.3,1989.0,rp,75,210,26.24533333333333,13.0
21,32.0,0.0,Don Aase,Dodgers,-0.4,1990.0,rp,75,210,26.24533333333333,14.0
22,22.0,0.0,Fernando Abad,Astros,-0.1,2010.0,rp,73,220,29.022330643647965,1.0
23,29.0,0.0,Fernando Abad,Astros,-0.4,2011.0,rp,73,220,29.022330643647965,2.0
24,37.0,6.0,Fernando Abad,Astros,0.2,2012.0,rp,73,220,29.022330643647965,3.0
25,39.0,0.0,Fernando Abad,Nationals,0.3,2013.0,rp,73,220,29.022330643647965,4.0
26,69.0,0.0,Fernando Abad,Athletics,0.6,2014.0,rp,73,220,29.022330643647965,5.0
