,height,weight,url,name,firstyear,lastyear,primary_pos
0,6-05,220,player.php?p=aardsda01,David Aardsma,2004,2015,P
1,6-00,180,player.php?p=aaronha01,Hank Aaron,1954,1976,3B
2,6-01,200,player.php?p=aaronto01,Tommie Aaron,1962,1971,CF
3,6-03,210,player.php?p=aasedo01,Don Aase,1977,1990,P
4,6-00,210,player.php?p=abadan01,Andy Abad,2001,2006,RF
5,6-01,220,player.php?p=abadfe01,Fernando Abad,2010,2017,P
6,5-11,170,player.php?p=abbated01,Ed Abbaticchio,1897,1910,OF
7,5-11,175,player.php?p=abbeybe01,Bert Abbey,1892,1896,P
8,5-08½,169,player.php?p=abbeych01,Charlie Abbey,1896,1897,P
9,5-11,190,player.php?p=abbotda01,Dan Abbott,1890,1890,P
10,5-10,180,player.php?p=abbotfr01,Fred Abbott,1903,1905,1B
11,6-06,200,player.php?p=abbotgl01,Glenn Abbott,1973,1984,P
12,6-02,190,player.php?p=abbotje01,Jeff Abbott,1997,2001,RF
13,6-03,210,player.php?p=abbotji01,Jim Abbott,1989,1999,P
14,6-00,185,player.php?p=abbotku01,Kurt Abbott,1993,2001,CF
15,6-04,200,player.php?p=abbotky01,Kyle Abbott,1991,1996,P
16,5-09,165,player.php?p=abbotod01,Ody Abbott,1910,1910,CF
17,6-03,185,player.php?p=abbotpa01,Paul Abbott,1990,2004,P
18,6-02,195,player.php?p=aberal01,Al Aber,1950,1957,P
19,6-03,220,player.php?p=abercre01,Reggie Abercrombie,2006,2008,RF
20,5-10,190,player.php?p=abernbi01,Bill Abernathie,1952,1952,P
21,6-01,185,player.php?p=abernbr01,Brent Abernathy,2001,2005,LF
22,6-02,210,player.php?p=abernte01,Ted Abernathy,1942,1944,P
23,6-04,215,player.php?p=abernte02,Ted Abernathy,1955,1972,P
24,6-00,170,player.php?p=abernwo01,Woody Abernathy,1946,1947,P
25,6-00,200,player.php?p=aberscl01,Cliff Aberson,1947,1949,RF
26,6-03,200,player.php?p=ablesha01,Harry Ables,1905,1911,P
27,6-01,190,player.php?p=abnersh01,Shawn Abner,1987,1992,LF
28,6-00,185,player.php?p=abramca01,Cal Abrams,1949,1956,1B
29,5-09,170,player.php?p=abramge01,George Abrams,1923,1923,P
30,6-00,185,player.php?p=abregjo01,Johnny Abrego,1985,1985,P
31,6-00,220,player.php?p=abreubo01,Bobby Abreu,1996,2014,CF
32,5-08,160,player.php?p=abreujo01,Joe Abreu,1942,1942,2B
33,6-03,255,player.php?p=abreujo02,Jose Abreu,2014,2018,1B
34,6-00,185,player.php?p=abreuju01,Juan Abreu,2011,2011,P
35,5-10,200,player.php?p=abreuto01,Tony Abreu,2007,2014,SS
36,6-02,170,player.php?p=abreuwi01,Winston Abreu,2006,2009,P
37,6-00,185,player.php?p=abstebi01,Bill Abstein,1906,1910,RF
38,6-00,195,player.php?p=accarje01,Jeremy Accardo,2005,2012,P
39,6-00,185,player.php?p=acevejo01,Jose Acevedo,2001,2005,P
40,6-02,195,player.php?p=aceveju01,Juan Acevedo,1995,2003,P
41,6-02,205,player.php?p=aceveal01,Alfredo Aceves,2008,2014,P
